zip,type_of_property,subtype_of_property,price,number_of_rooms,house_area,surface_of_the_land,number_of_facades,swimming_pool,state_of_the_building,commune,province,region,rank
8800,house,house,525000,4,207,616,4,0,as new,ROESELARE,Flandre-Occidentale,Région flamande,249.0
1650,house,villa,549000,4,225,801,4,0,as new,BEERSEL,Brabant Flamand,Région flamande,490.0
2235,house,villa,549000,3,197,1234,4,1,just renovated,HULSHOUT,Anvers,Région flamande,460.0
1400,house,house,240000,3,90,722,3,0,unknown,NIVELLES,Brabant Wallon,Région flamande,284.0
1933,house,house,525000,5,170,290,2,0,good,ZAVENTEM,Brabant Flamand,Région flamande,510.0
1370,house,house,40000,3,236,2090,4,0,good,JODOIGNE,Brabant Wallon,Région flamande,489.0
4190,house,house,110000,3,105,486,3,0,good,FERRIÈRES,Liège,Région wallonne,159.0
1331,house,house,525000,5,291,740,4,0,to be done up,RIXENSART,Brabant Wallon,Région flamande,568.0
1640,house,house,550000,4,220,320,3,0,good,RHODE-SAINT-GENÈSE,Brabant Flamand,Région flamande,573.0
7890,house,house,200000,4,184,4400,4,0,unknown,ELLEZELLES,Hainaut,Région wallonne,100.0
8531,house,villa,60000,3,178,671,4,0,good,HARELBEKE,Flandre-Occidentale,Région flamande,161.0
8531,house,house,60000,3,178,671,4,0,good,HARELBEKE,Flandre-Occidentale,Région flamande,161.0
8370,house,house,535000,4,449,170,3,0,good,BLANKENBERGE,Flandre-Occidentale,Région flamande,153.0
1350,house,exceptional property,549000,3,195,2200,4,1,unknown,ORP-JAUCHE,Brabant Wallon,Région flamande,218.0
4280,house,exceptional property,549000,3,195,2200,4,1,unknown,HANNUT,Liège,Région wallonne,198.0
9550,house,bungalow,200000,3,175,2272,4,0,to be done up,HERZELE,Flandre-Orientale,Région flamande,363.0
6700,house,house,125000,4,190,370,3,0,to be done up,ARLON,Luxembourg,Région wallonne,309.0
1390,house,house,520000,5,280,5897,4,0,to renovate,GREZ-DOICEAU,Brabant Wallon,Région flamande,548.0
1160,house,house,525000,4,141,205,2,0,to renovate,AUDERGHEM,Bruxelles (19 communes),Région Bruxelles-capitale,545.0
1200,house,house,525000,3,122,120,2,0,good,WOLUWE-SAINT-LAMBERT,Bruxelles (19 communes),Région Bruxelles-capitale,539.0
3080,house,villa,535000,3,320,891,4,0,unknown,TERVUREN,Brabant Flamand,Région flamande,572.0
1650,house,house,540000,4,460,1440,2,0,good,BEERSEL,Brabant Flamand,Région flamande,490.0
1380,house,house,545000,5,280,359,2,1,as new,LASNE,Brabant Wallon,Région flamande,580.0
7521,house,villa,100000,3,240,1853,4,0,good,TOURNAI,Hainaut,Région wallonne,281.0
1560,house,house,519000,4,215,1436,4,0,to be done up,HOEILAART,Brabant Flamand,Région flamande,552.0
7850,house,mansion,530000,6,352,543,2,0,good,ENGHIEN,Hainaut,Région wallonne,472.0
1331,house,bungalow,520000,3,183,1225,4,0,as new,RIXENSART,Brabant Wallon,Région flamande,568.0
9940,house,mixed use building,525000,3,171,1988,4,0,to be done up,EVERGEM,Flandre-Orientale,Région flamande,391.0
9000,house,house,220000,4,136,55,2,0,good,GENT,Flandre-Orientale,Région flamande,496.0
8660,house,exceptional property,60000,2,184,505,3,0,good,DE PANNE,Flandre-Occidentale,Région flamande,118.0
8660,house,country cottage,60000,2,184,505,3,0,good,DE PANNE,Flandre-Occidentale,Région flamande,118.0
8660,house,house,60000,2,184,505,3,0,good,DE PANNE,Flandre-Occidentale,Région flamande,118.0
8660,house,exceptional property,65000,2,184,505,3,0,good,DE PANNE,Flandre-Occidentale,Région flamande,118.0
8660,house,country cottage,65000,2,184,505,3,0,good,DE PANNE,Flandre-Occidentale,Région flamande,118.0
8660,house,house,65000,2,184,505,3,0,good,DE PANNE,Flandre-Occidentale,Région flamande,118.0
9990,house,exceptional property,95000,4,233,873,4,0,good,MALDEGEM,Flandre-Orientale,Région flamande,312.0
9990,house,villa,95000,4,233,873,4,0,good,MALDEGEM,Flandre-Orientale,Région flamande,312.0
9990,house,house,95000,4,233,873,4,0,good,MALDEGEM,Flandre-Orientale,Région flamande,312.0
6700,house,house,520000,7,255,1920,2,0,good,ARLON,Luxembourg,Région wallonne,309.0
1150,house,house,549000,4,160,122,2,0,just renovated,WOLUWE-SAINT-PIERRE,Bruxelles (19 communes),Région Bruxelles-capitale,574.0
5150,house,villa,35000,2,72,553,4,0,good,FLOREFFE,Namur,Région wallonne,182.0
1325,house,house,521000,3,228,908,3,0,unknown,CHAUMONT-GISTOUX,Brabant Wallon,Région flamande,563.0
4590,house,house,99000,4,186,580,2,0,to renovate,OUFFET,Liège,Région wallonne,342.0
6900,house,house,525000,5,450,170,3,0,as new,MARCHE-EN-FAMENNE,Luxembourg,Région wallonne,85.0
8420,house,villa,530000,4,212,1006,3,0,good,DE HAAN,Flandre-Occidentale,Région flamande,257.0
8670,house,house,535000,4,260,667,3,0,good,KOKSIJDE,Flandre-Occidentale,Région flamande,322.0
8780,house,house,550000,8,331,100,3,0,as new,OOSTROZEBEKE,Flandre-Occidentale,Région flamande,405.0
3300,house,house,525000,4,254,3046,4,0,good,TIENEN,Brabant Flamand,Région flamande,179.0
8770,house,villa,548000,3,200,520,4,0,as new,INGELMUNSTER,Flandre-Occidentale,Région flamande,327.0
4121,house,bungalow,200000,3,137,937,4,0,unknown,NEUPRÉ,Liège,Région wallonne,457.0
3401,house,exceptional property,39000,3,220,1615,4,0,good,LANDEN,Brabant Flamand,Région flamande,73.0
3401,house,villa,39000,3,220,1615,4,0,good,LANDEN,Brabant Flamand,Région flamande,73.0
3401,house,house,39000,3,220,1615,4,0,good,LANDEN,Brabant Flamand,Région flamande,73.0
4630,house,villa,175000,3,240,3749,4,0,as new,SOUMAGNE,Liège,Région wallonne,205.0
1460,house,house,517000,4,250,430,3,0,just renovated,ITTRE,Brabant Wallon,Région flamande,474.0
1490,house,villa,525000,5,195,761,4,0,unknown,COURT-SAINT-ETIENNE,Brabant Wallon,Région flamande,381.0
6560,house,house,550000,4,360,4500,4,0,just renovated,ERQUELINNES,Hainaut,Région wallonne,15.0
4821,house,house,40000,4,124,346,4,0,to renovate,DISON,Liège,Région wallonne,21.0
4141,house,house,100000,5,230,538,2,0,good,SPRIMONT,Liège,Région wallonne,333.0
1050,house,mixed use building,520000,4,200,69,2,0,to renovate,IXELLES,Bruxelles (19 communes),Région Bruxelles-capitale,564.0
9000,house,house,525000,6,260,90,2,0,good,GENT,Flandre-Orientale,Région flamande,496.0
9031,house,bungalow,285000,2,152,687,4,0,to be done up,GENT,Flandre-Orientale,Région flamande,496.0
1785,house,house,515000,4,150,954,3,0,to be done up,MERCHTEM,Brabant Flamand,Région flamande,412.0
1160,house,house,530000,4,165,200,2,0,just renovated,AUDERGHEM,Bruxelles (19 communes),Région Bruxelles-capitale,545.0
7540,house,country cottage,545000,6,233,2300,4,0,as new,TOURNAI,Hainaut,Région wallonne,281.0
8851,house,house,549000,5,279,1457,4,0,good,ARDOOIE,Flandre-Occidentale,Région flamande,375.0
9500,house,villa,549000,4,334,2153,3,0,as new,GERAARDSBERGEN,Flandre-Orientale,Région flamande,210.0
4100,house,house,120000,2,140,530,3,0,as new,SERAING,Liège,Région wallonne,26.0
3120,house,villa,325000,5,218,1494,4,0,as new,TREMELO,Brabant Flamand,Région flamande,446.0
9080,house,house,549000,3,250,1079,4,0,good,LOCHRISTI,Flandre-Orientale,Région flamande,525.0
1180,house,villa,525000,3,200,350,3,0,as new,UCCLE,Bruxelles (19 communes),Région Bruxelles-capitale,549.0
1380,house,villa,535000,3,192,1191,4,0,good,LASNE,Brabant Wallon,Région flamande,580.0
7712,house,villa,550000,4,257,1356,4,0,as new,MOUSCRON,Hainaut,Région wallonne,172.0
3020,house,house,546600,4,228,240,2,0,unknown,HERENT,Brabant Flamand,Région flamande,518.0
3001,house,house,515000,5,210,634,3,0,as new,LEUVEN,Brabant Flamand,Région flamande,465.0
1331,house,house,525000,3,177,800,4,0,as new,RIXENSART,Brabant Wallon,Région flamande,568.0
3090,house,villa,529000,3,210,957,4,0,unknown,OVERIJSE,Brabant Flamand,Région flamande,571.0
8211,house,villa,539000,4,248,3206,3,0,as new,ZEDELGEM,Flandre-Occidentale,Région flamande,414.0
6940,house,house,50000,5,230,7084,4,0,good,DURBUY,Luxembourg,Région wallonne,194.0
2830,house,house,158000,3,85,187,2,0,to be done up,WILLEBROEK,Anvers,Région flamande,382.0
2800,house,house,509000,3,210,260,2,0,to be done up,MECHELEN,Anvers,Région flamande,479.0
3090,house,bungalow,535000,3,225,1060,4,0,as new,OVERIJSE,Brabant Flamand,Région flamande,571.0
9910,house,country cottage,535000,2,150,12000,4,0,to renovate,AALTER,Flandre-Orientale,Région flamande,318.0
2600,house,mixed use building,545000,4,300,200,2,0,good,ANTWERPEN,Anvers,Région flamande,334.0
4120,house,villa,545000,6,454,4180,4,0,good,NEUPRÉ,Liège,Région wallonne,457.0
4122,house,villa,545000,6,454,4180,4,0,good,NEUPRÉ,Liège,Région wallonne,457.0
7620,house,house,549000,6,364,2515,4,1,as new,BRUNEHAUT,Hainaut,Région wallonne,441.0
4430,house,house,60000,2,164,159,2,0,to renovate,ANS,Liège,Région wallonne,66.0
5500,house,house,115000,4,74,626,3,0,to be done up,DINANT,Namur,Région wallonne,138.0
4000,house,villa,200000,4,138,414,4,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
9820,house,house,549000,2,166,1346,3,0,to renovate,MERELBEKE,Flandre-Orientale,Région flamande,464.0
7500,house,mixed use building,550000,7,275,126,2,0,good,TOURNAI,Hainaut,Région wallonne,281.0
3020,house,house,523300,3,206,460,4,0,unknown,HERENT,Brabant Flamand,Région flamande,518.0
9000,house,house,180000,3,107,41,2,0,to renovate,GENT,Flandre-Orientale,Région flamande,496.0
5080,house,house,95000,3,137,3348,4,0,unknown,LA BRUYÈRE,Namur,Région wallonne,468.0
1300,house,house,550000,4,185,572,4,0,as new,WAVRE,Brabant Wallon,Région flamande,493.0
5374,house,country cottage,550000,4,260,22076,4,0,unknown,HAVELANGE,Namur,Région wallonne,248.0
8200,house,house,550000,4,227,302,3,0,as new,BRUGGE,Flandre-Occidentale,Région flamande,467.0
9050,house,house,540000,3,188,1200,4,0,as new,GENT,Flandre-Orientale,Région flamande,496.0
1950,house,villa,535530,3,152,1059,4,0,as new,KRAAINEM,Brabant Flamand,Région flamande,577.0
1370,house,villa,549000,6,354,2943,4,0,unknown,JODOIGNE,Brabant Wallon,Région flamande,489.0
4651,house,exceptional property,549000,7,469,1154,4,0,unknown,HERVE,Liège,Région wallonne,431.0
3271,house,exceptional property,130000,3,224,584,4,0,to be done up,SCHERPENHEUVEL-ZICHEM,Brabant Flamand,Région flamande,195.0
3271,house,villa,130000,3,224,584,4,0,to be done up,SCHERPENHEUVEL-ZICHEM,Brabant Flamand,Région flamande,195.0
3271,house,house,130000,3,224,584,4,0,to be done up,SCHERPENHEUVEL-ZICHEM,Brabant Flamand,Région flamande,195.0
3040,house,house,537500,6,260,1138,4,0,as new,HULDENBERG,Brabant Flamand,Région flamande,565.0
2650,house,house,539000,4,151,251,3,0,as new,EDEGEM,Anvers,Région flamande,416.0
6210,house,mixed use building,550000,3,800,2700,3,0,good,LES BONS VILLERS,Hainaut,Région wallonne,286.0
4432,house,house,80000,3,153,360,3,0,to renovate,ANS,Liège,Région wallonne,66.0
1370,house,house,99000,3,164,100,2,0,to renovate,JODOIGNE,Brabant Wallon,Région flamande,489.0
6690,house,house,135000,3,205,2455,4,0,to be done up,VIELSALM,Luxembourg,Région wallonne,92.0
1320,house,house,170000,2,129,1248,4,0,to renovate,BEAUVECHAIN,Brabant Wallon,Région flamande,544.0
6941,house,house,545000,24,980,5845,4,0,unknown,DURBUY,Luxembourg,Région wallonne,194.0
8200,house,villa,549000,4,202,591,4,0,as new,BRUGGE,Flandre-Occidentale,Région flamande,467.0
2470,house,exceptional property,175000,3,163,271,2,0,just renovated,RETIE,Anvers,Région flamande,295.0
2470,house,house,175000,3,163,271,2,0,just renovated,RETIE,Anvers,Région flamande,295.0
8000,house,house,290000,4,267,138,2,0,good,BRUGGE,Flandre-Occidentale,Région flamande,467.0
6890,house,house,99000,3,135,595,4,0,just renovated,LIBIN,Luxembourg,Région wallonne,368.0
1180,house,house,550000,4,200,130,2,0,unknown,UCCLE,Bruxelles (19 communes),Région Bruxelles-capitale,549.0
7850,house,exceptional property,525000,5,310,2540,3,0,good,ENGHIEN,Hainaut,Région wallonne,472.0
4500,house,town house,160000,3,490,245,2,0,to renovate,HUY,Liège,Région wallonne,84.0
5501,house,house,180000,3,228,1480,4,0,good,DINANT,Namur,Région wallonne,138.0
1780,house,exceptional property,525000,3,160,440,3,0,just renovated,WEMMEL,Brabant Flamand,Région flamande,524.0
1800,house,villa,529000,3,228,635,4,0,good,VILVOORDE,Brabant Flamand,Région flamande,307.0
7860,house,house,535000,4,216,835,4,0,as new,LESSINES,Hainaut,Région wallonne,112.0
7860,house,villa,535000,4,216,835,4,0,as new,LESSINES,Hainaut,Région wallonne,112.0
2811,house,house,549000,2,251,968,4,0,as new,MECHELEN,Anvers,Région flamande,479.0
4520,house,house,77000,4,227,840,3,0,to renovate,WANZE,Liège,Région wallonne,136.0
3570,house,house,190000,2,516,3025,4,0,to renovate,ALKEN,Limbourg,Région flamande,372.0
1380,house,villa,545000,4,180,651,4,0,as new,LASNE,Brabant Wallon,Région flamande,580.0
1380,house,house,550000,3,150,481,4,0,good,LASNE,Brabant Wallon,Région flamande,580.0
7500,house,villa,550000,6,400,2250,4,0,unknown,TOURNAI,Hainaut,Région wallonne,281.0
7380,house,house,49000,4,141,150,2,0,to renovate,QUIÉVRAIN,Hainaut,Région wallonne,2.0
4570,house,house,55000,2,114,83,3,0,to renovate,MARCHIN,Liège,Région wallonne,167.0
7050,house,country cottage,550000,5,240,5270,4,0,good,JURBISE,Hainaut,Région wallonne,332.0
1440,house,villa,545000,4,265,840,3,0,as new,BRAINE-LE-CHÂTEAU,Brabant Wallon,Région flamande,438.0
2500,house,house,200000,3,200,597,4,0,unknown,LIER,Anvers,Région flamande,390.0
3550,house,house,190000,3,214,1043,4,0,unknown,HEUSDEN-ZOLDER,Limbourg,Région flamande,236.0
8540,house,mansion,525000,3,309,660,3,1,as new,DEERLIJK,Flandre-Occidentale,Région flamande,202.0
9810,house,country cottage,220000,3,172,4337,4,1,to renovate,NAZARETH,Flandre-Orientale,Région flamande,424.0
9220,house,villa,549000,5,252,957,4,0,good,HAMME,Flandre-Orientale,Région flamande,154.0
5340,house,villa,220000,3,250,3060,4,0,unknown,GESVES,Namur,Région wallonne,186.0
7190,house,farmhouse,550000,4,145,4254,3,0,good,ECAUSSINNES,Hainaut,Région wallonne,124.0
4840,house,bungalow,165000,3,131,646,4,0,good,WELKENRAEDT,Liège,Région wallonne,170.0
8380,house,house,149000,3,132,217,2,0,to renovate,BRUGGE,Flandre-Occidentale,Région flamande,467.0
1547,house,country cottage,550000,4,370,16734,4,0,to renovate,BIÉVÈNE,Brabant Flamand,Région flamande,566.0
1325,house,house,40000,3,180,938,4,0,to renovate,CHAUMONT-GISTOUX,Brabant Wallon,Région flamande,563.0
8000,house,house,75000,3,110,45,2,0,good,BRUGGE,Flandre-Occidentale,Région flamande,467.0
5572,house,house,80000,3,205,932,3,0,unknown,BEAURAING,Namur,Région wallonne,38.0
8300,house,house,549000,4,175,680,4,0,to be done up,KNOKKE-HEIST,Flandre-Occidentale,Région flamande,570.0
1420,house,house,550000,4,350,193,3,0,good,BRAINE-L'ALLEUD,Brabant Wallon,Région flamande,488.0
2235,house,house,550000,4,302,15125,4,0,unknown,HULSHOUT,Anvers,Région flamande,460.0
8670,house,villa,515000,3,270,935,4,0,good,KOKSIJDE,Flandre-Occidentale,Région flamande,322.0
3290,house,house,205000,3,207,1087,4,0,unknown,DIEST,Brabant Flamand,Région flamande,348.0
2900,house,villa,100000,4,222,1279,4,0,unknown,SCHOTEN,Anvers,Région flamande,471.0
8310,house,house,300000,2,110,626,3,0,to be done up,BRUGGE,Flandre-Occidentale,Région flamande,467.0
1853,house,house,539000,4,240,229,2,0,unknown,GRIMBERGEN,Brabant Flamand,Région flamande,436.0
4400,house,house,75000,3,130,275,4,0,to be done up,FLÉMALLE,Liège,Région wallonne,81.0
6700,house,house,90000,3,210,770,3,0,to renovate,ARLON,Luxembourg,Région wallonne,309.0
4020,house,house,115000,1,89,210,2,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
